MA,16728388.710000008,1254509.7300000002,0.07499286104286129
FC,11602837.860000001,904684.3800000012,0.07797095770154984
BR,9562501.48999999,716425.690000003,0.07492032192091232
KC,8144662.019999997,628730.8900000008,0.0771954549441207
FT,7041195.209999992,528630.3500000001,0.07507679225385383
BD,6984171.039999937,517721.9399999993,0.07412790108301873
VS,6821377.329999996,494712.9599999998,0.07252391065134056
HO,6187287.1,459974.29000000283,0.0743418371518598
PB,6185033.279999997,465989.33000000037,0.07534144262518837
SA,5775681.119999989,431366.4700000001,0.0746866838798055
LT,5112065.019999981,385724.55000000057,0.07545376447500701
PA,3382767.3399999985,249520.60000000024,0.07376227062662853
DW,3184418.1799999997,247957.86000000002,0.07786598555344262
FD,2819808.939999996,210464.00000000017,0.07463768094869593
ET,1882088.8300000008,141594.08999999933,0.07523241610227253
HW,1411021.7000000007,106358.1499999994,0.07537669335631007
OL,1318460.4,102136.78999999998,0.07746671041466242
DH,1261420.34,95619.80000000005,0.07580328060985606
PT,984007.4900000001,72999.10999999991,0.07418552271385648
AU,973219.6200000001,75448.75999999997,0.07752490645431086
GD,936301.3800000007,70489.37999999998,0.07528492588572273
HT,721777.5000000006,54606.38999999998,0.07565543398069341
BC,678232.6699999999,52689.7,0.07768676197800971
SR,648623.7699999999,52010.590000000004,0.08018606841991006
BM,451062.68999999994,32957.30999999999,0.0730659190632681
IT,11503,759,0.06598278709901764
OI,104.69999999999999,7.8799999999999955,0.07526265520534858
PP,0,0,
,0,0,
